Date,Value
2022-05-23,265106.0
2022-05-22,209047.0
2022-05-21,225225.0
2022-05-20,267034.0
2022-05-19,262479.0
2022-05-18,262907.0
2022-05-17,278496.0
2022-05-16,272134.0
2022-05-15,235433.0
2022-05-14,290225.0
2022-05-13,269880.0
2022-05-12,274204.0
2022-05-11,262683.0
2022-05-10,279658.0
2022-05-09,279511.0
2022-05-08,233892.0
2022-05-07,231623.0
2022-05-06,286887.0
2022-05-05,315759.0
2022-05-04,233045.0
2022-05-03,277895.0
2022-05-02,272206.0
2022-05-01,232322.0
2022-04-30,261630.0
2022-04-29,286563.0
2022-04-28,275765.0
2022-04-27,287105.0
2022-04-26,273297.0
2022-04-25,277417.0
2022-04-24,221992.0
2022-04-23,234978.0
2022-04-22,260930.0
2022-04-21,282438.0
2022-04-20,285655.0
2022-04-19,273168.0
2022-04-18,246421.0
2022-04-17,207324.0
2022-04-16,225486.0
2022-04-15,254831.0
2022-04-14,265537.0
2022-04-13,276968.0
2022-04-12,278839.0
2022-04-11,276623.0
2022-04-10,216446.0
2022-04-09,232792.0
2022-04-08,266805.0
2022-04-07,269404.0
2022-04-06,273640.0
2022-04-05,273430.0
2022-04-04,275106.0
2022-04-03,225564.0
2022-04-02,254442.0
2022-04-01,284105.0
2022-03-31,279210.0
2022-03-30,272864.0
2022-03-29,286940.0
2022-03-28,293304.0
2022-03-27,218202.0
2022-03-26,231031.0
2022-03-25,290719.0
2022-03-24,262987.0
2022-03-23,264182.0
2022-03-22,264569.0
2022-03-21,259912.0
2022-03-20,210547.0
2022-03-19,242424.0
2022-03-18,261318.0
2022-03-17,278800.0
2022-03-16,276390.0
2022-03-15,263178.0
2022-03-14,259592.0
2022-03-13,208092.0
2022-03-12,225148.0
2022-03-11,252383.0
2022-03-10,261553.0
2022-03-09,272805.0
2022-03-08,255771.0
2022-03-07,255441.0
2022-03-06,207116.0
2022-03-05,225321.0
2022-03-04,262101.0
2022-03-03,268244.0
2022-03-02,288657.0
2022-03-01,280634.0
2022-02-28,270918.0
2022-02-27,211164.0
2022-02-26,220423.0
2022-02-25,260340.0
2022-02-24,254139.0
2022-02-23,251275.0
2022-02-22,260265.0
2022-02-21,237402.0
2022-02-20,200535.0
2022-02-19,220673.0
2022-02-18,261055.0
2022-02-17,255573.0
2022-02-16,266788.0
2022-02-15,273623.0
2022-02-14,247592.0
2022-02-13,208977.0
2022-02-12,228189.0
2022-02-11,258595.0
2022-02-10,260813.0
2022-02-09,265804.0
2022-02-08,276850.0
2022-02-07,262034.0
2022-02-06,219196.0
2022-02-05,258646.0
2022-02-04,247946.0
2022-02-03,265344.0
2022-02-02,278985.0
2022-02-01,272984.0
2022-01-31,263410.0
2022-01-30,207173.0
2022-01-29,231038.0
2022-01-28,264609.0
2022-01-27,255925.0
2022-01-26,261070.0
2022-01-25,265128.0
2022-01-24,270712.0
2022-01-23,203986.0
2022-01-22,250294.0
2022-01-21,272348.0
2022-01-20,271265.0
2022-01-19,270334.0
2022-01-18,265057.0
2022-01-17,258141.0
2022-01-16,216151.0
2022-01-15,234373.0
2022-01-14,270882.0
2022-01-13,274515.0
2022-01-12,271933.0
2022-01-11,277698.0
2022-01-10,266743.0
2022-01-09,210143.0
2022-01-08,223920.0
2022-01-07,255381.0
2022-01-06,264899.0
2022-01-05,272155.0
2022-01-04,274544.0
2022-01-03,234793.0
2022-01-02,196865.0
2022-01-01,186834.0
2021-12-31,269540.0
2021-12-30,245021.0
2021-12-29,276083.0
2021-12-28,265422.0
2021-12-27,249548.0
2021-12-26,198574.0
2021-12-25,207803.0
2021-12-24,260565.0
2021-12-23,291799.0
2021-12-22,288495.0
2021-12-21,304713.0
2021-12-20,266947.0
2021-12-19,206719.0
2021-12-18,239170.0
2021-12-17,263495.0
2021-12-16,256206.0
2021-12-15,281103.0
2021-12-14,278275.0
2021-12-13,278211.0
2021-12-12,214808.0
2021-12-11,225733.0
2021-12-10,271375.0
2021-12-09,282775.0
2021-12-08,266110.0
2021-12-07,288343.0
2021-12-06,284467.0
2021-12-05,215213.0
2021-12-04,253674.0
2021-12-03,290139.0
2021-12-02,313261.0
2021-12-01,288422.0
